FINAL_SMILES;INTERMEDIATE_SMILES;RULE_IDS
CCC1(O)CCCN(OS(=O)(=O)O)CC(C)c2cn(c3ccccc23)C(=CI)C1;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2CC(O)C(CO)O2)c2ccccc12', 'CC1OC(n2cc(CCN)c3ccccc32)CC1O', 'CC1OC(n2cc(CCNCC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC1OC(n2cc(CCN(O)CC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC(=O)C1CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCC(=O)O)c2ccccc21', 'CC(O)(CN(O)CCCC(=O)O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CCCCCCCCCC(CCCCCCCC(=O)O)OC(=O)CCCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC(=O)CCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC1(O)CN(O)CCC(=O)CC2(O)CCCCOC23CC3n2cc1c1ccccc12', 'CC1(O)CN(O)CCC(=O)CC(O)(CCCCO)C2(O)CC2n2cc1c1ccccc12', 'CCCC1(O)CC(=O)CCN(O)CC(C)(O)c2cn(c3ccccc23)C2CC21O', 'CCCC1(O)CC(=O)CCN(O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)=O)CCN(O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)=O)CCN(OS(=O)(=O)O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)(O)CC(=O)O)CCN(OS(=O)(=O)O)CC(C)c2cn(c3ccccc23)C2CC21', 'C=C1CC(O)(CCC)CCCN(OS(=O)(=O)O)CC(C)c2cn1c1ccccc21', 'CCCC1(O)CCCN(OS(=O)(=O)O)CC(C)c2cn(c3ccccc23)C(=CI)C1'];['Rule_51975', 'Rule_42639', 'Rule_46320', 'Rule_46903', 'Rule_42646', 'Rule_46417', 'Rule_48442', 'Rule_55694', 'Rule_39230', 'Rule_71162', 'Rule_41631', 'Rule_41672', 'Rule_82219', 'Rule_46722', 'Rule_77873', 'Rule_69275', 'Rule_46499', 'Rule_47167', 'Rule_745', 'Rule_76522', 'Rule_5286', 'Rule_41627', 'Rule_44529', 'Rule_38886']
C=C1CC(C)(O)CCCN(OS(=O)O)CC(C)c2cn1c1ccccc21;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2CC(O)C(CO)O2)c2ccccc12', 'CC1OC(n2cc(CCN)c3ccccc32)CC1O', 'CC1OC(n2cc(CCNCC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC1OC(n2cc(CCN(O)CC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC(=O)C1CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCC(=O)O)c2ccccc21', 'CC(O)(CN(O)CCCC(=O)O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CCCCCCCCCC(CCCCCCCC(=O)O)OC(=O)CCCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC(=O)CCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC1(O)CN(O)CCC(=O)CC2(O)CCCCOC23CC3n2cc1c1ccccc12', 'CC1(O)CN(O)CCC(=O)CC(O)(CCCCO)C2(O)CC2n2cc1c1ccccc12', 'CCCC1(O)CC(=O)CCN(O)CC(C)(O)c2cn(c3ccccc23)C2CC21O', 'CCCC1(O)CC(=O)CCN(O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)=O)CCN(O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)=O)CCN(OS(=O)(=O)O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)(O)CC(=O)O)CCN(OS(=O)(=O)O)CC(C)c2cn(c3ccccc23)C2CC21', 'C=C1CC(O)(CCC)CCCN(OS(=O)(=O)O)CC(C)c2cn1c1ccccc21', 'C=C1CC(C)(O)CCCN(OS(=O)(=O)O)CC(C)c2cn1c1ccccc21'];['Rule_51975', 'Rule_42639', 'Rule_46320', 'Rule_46903', 'Rule_42646', 'Rule_46417', 'Rule_48442', 'Rule_55694', 'Rule_39230', 'Rule_71162', 'Rule_41631', 'Rule_41672', 'Rule_82219', 'Rule_46722', 'Rule_77873', 'Rule_69275', 'Rule_46499', 'Rule_47167', 'Rule_745', 'Rule_76522', 'Rule_5286', 'Rule_41627', 'Rule_46505', 'Rule_42690']
C=C1CC(O)(CCC)CCCN(OS(=O)(=O)O)CC(C)c2cn1c1ccccc21;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2CC(O)C(CO)O2)c2ccccc12', 'CC1OC(n2cc(CCN)c3ccccc32)CC1O', 'CC1OC(n2cc(CCNCC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC1OC(n2cc(CCN(O)CC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC(=O)C1CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCC(=O)O)c2ccccc21', 'CC(O)(CN(O)CCCC(=O)O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CCCCCCCCCC(CCCCCCCC(=O)O)OC(=O)CCCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC(=O)CCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC1(O)CN(O)CCC(=O)CC2(O)CCCCOC23CC3n2cc1c1ccccc12', 'CC1(O)CN(O)CCC(=O)CC(O)(CCCCO)C2(O)CC2n2cc1c1ccccc12', 'CCCC1(O)CC(=O)CCN(O)CC(C)(O)c2cn(c3ccccc23)C2CC21O', 'CCCC1(O)CC(=O)CCN(O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)=O)CCN(O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)=O)CCN(OS(=O)(=O)O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)(O)CC(=O)O)CCN(OS(=O)(=O)O)CC(C)c2cn(c3ccccc23)C2CC21'];['Rule_51975', 'Rule_42639', 'Rule_46320', 'Rule_46903', 'Rule_42646', 'Rule_46417', 'Rule_48442', 'Rule_55694', 'Rule_39230', 'Rule_71162', 'Rule_41631', 'Rule_41672', 'Rule_82219', 'Rule_46722', 'Rule_77873', 'Rule_69275', 'Rule_46499', 'Rule_47167', 'Rule_745', 'Rule_76522', 'Rule_5286', 'Rule_41627']
C=C1CC(O)(CC(O)C(C)=O)CCCN(OS(=O)O)CC(C)c2cn1c1ccccc21;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2CC(O)C(CO)O2)c2ccccc12', 'CC1OC(n2cc(CCN)c3ccccc32)CC1O', 'CC1OC(n2cc(CCNCC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC1OC(n2cc(CCN(O)CC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC(=O)C1CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCC(=O)O)c2ccccc21', 'CC(O)(CN(O)CCCC(=O)O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CCCCCCCCCC(CCCCCCCC(=O)O)OC(=O)CCCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC(=O)CCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC1(O)CN(O)CCC(=O)CC2(O)CCCCOC23CC3n2cc1c1ccccc12', 'CC1(O)CN(O)CCC(=O)CC(O)(CCCCO)C2(O)CC2n2cc1c1ccccc12', 'CCCC1(O)CC(=O)CCN(O)CC(C)(O)c2cn(c3ccccc23)C2CC21O', 'CCCC1(O)CC(=O)CCN(O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)=O)CCN(O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)=O)CCN(OS(=O)(=O)O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)(O)CC(=O)O)CCN(OS(=O)(=O)O)CC(C)c2cn(c3ccccc23)C2CC21', 'C=C1CC(O)(CCC)CCCN(OS(=O)(=O)O)CC(C)c2cn1c1ccccc21', 'C=C1CC(C)(O)CCCN(OS(=O)(=O)O)CC(C)c2cn1c1ccccc21', 'C=C1CC(C)(O)CCCN(OS(=O)O)CC(C)c2cn1c1ccccc21', 'C=C1CC(O)(CC(O)C(C)O)CCCN(OS(=O)O)CC(C)c2cn1c1ccccc21'];['Rule_51975', 'Rule_42639', 'Rule_46320', 'Rule_46903', 'Rule_42646', 'Rule_46417', 'Rule_48442', 'Rule_55694', 'Rule_39230', 'Rule_71162', 'Rule_41631', 'Rule_41672', 'Rule_82219', 'Rule_46722', 'Rule_77873', 'Rule_69275', 'Rule_46499', 'Rule_47167', 'Rule_745', 'Rule_76522', 'Rule_5286', 'Rule_41627', 'Rule_46505', 'Rule_42690', 'Rule_55627', 'Rule_43779']
C=C1CC(O)(C(N)CC)CCCN(OS(=O)(=O)O)CC(C)c2cn1c1ccccc21;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2CC(O)C(CO)O2)c2ccccc12', 'CC1OC(n2cc(CCN)c3ccccc32)CC1O', 'CC1OC(n2cc(CCNCC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC1OC(n2cc(CCN(O)CC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC(=O)C1CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCC(=O)O)c2ccccc21', 'CC(O)(CN(O)CCCC(=O)O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CCCCCCCCCC(CCCCCCCC(=O)O)OC(=O)CCCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC(=O)CCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC1(O)CN(O)CCC(=O)CC2(O)CCCCOC23CC3n2cc1c1ccccc12', 'CC1(O)CN(O)CCC(=O)CC(O)(CCCCO)C2(O)CC2n2cc1c1ccccc12', 'CCCC1(O)CC(=O)CCN(O)CC(C)(O)c2cn(c3ccccc23)C2CC21O', 'CCCC1(O)CC(=O)CCN(O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)=O)CCN(O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)=O)CCN(OS(=O)(=O)O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)(O)CC(=O)O)CCN(OS(=O)(=O)O)CC(C)c2cn(c3ccccc23)C2CC21', 'C=C1CC(O)(CCC)CCCN(OS(=O)(=O)O)CC(C)c2cn1c1ccccc21', 'C=C1CC(O)(C(=O)CC)CCCN(OS(=O)(=O)O)CC(C)c2cn1c1ccccc21'];['Rule_51975', 'Rule_42639', 'Rule_46320', 'Rule_46903', 'Rule_42646', 'Rule_46417', 'Rule_48442', 'Rule_55694', 'Rule_39230', 'Rule_71162', 'Rule_41631', 'Rule_41672', 'Rule_82219', 'Rule_46722', 'Rule_77873', 'Rule_69275', 'Rule_46499', 'Rule_47167', 'Rule_745', 'Rule_76522', 'Rule_5286', 'Rule_41627', 'Rule_48564', 'Rule_47726']
CC1CN(OS(=O)O)CCCC(O)(CI)CC(=O)n2cc1c1ccccc12;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2CC(O)C(CO)O2)c2ccccc12', 'CC1OC(n2cc(CCN)c3ccccc32)CC1O', 'CC1OC(n2cc(CCNCC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC1OC(n2cc(CCN(O)CC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC(=O)C1CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCC(=O)O)c2ccccc21', 'CC(O)(CN(O)CCCC(=O)O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CCCCCCCCCC(CCCCCCCC(=O)O)OC(=O)CCCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC(=O)CCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC1(O)CN(O)CCC(=O)CC2(O)CCCCOC23CC3n2cc1c1ccccc12', 'CC1(O)CN(O)CCC(=O)CC(O)(CCCCO)C2(O)CC2n2cc1c1ccccc12', 'CCCC1(O)CC(=O)CCN(O)CC(C)(O)c2cn(c3ccccc23)C2CC21O', 'CCCC1(O)CC(=O)CCN(O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)=O)CCN(O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)=O)CCN(OS(=O)(=O)O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@@](O)(C(C)(O)CC(=O)O)CCN(OS(=O)(=O)O)CC(C)c2cn(c3ccccc23)C2CC21', 'C=C1CC(O)(CCC)CCCN(OS(=O)(=O)O)CC(C)c2cn1c1ccccc21', 'C=C1CC(C)(O)CCCN(OS(=O)(=O)O)CC(C)c2cn1c1ccccc21', 'C=C1CC(C)(O)CCCN(OS(=O)O)CC(C)c2cn1c1ccccc21', 'CC1CN(OS(=O)O)CCCC(C)(O)CC(=O)n2cc1c1ccccc12'];['Rule_51975', 'Rule_42639', 'Rule_46320', 'Rule_46903', 'Rule_42646', 'Rule_46417', 'Rule_48442', 'Rule_55694', 'Rule_39230', 'Rule_71162', 'Rule_41631', 'Rule_41672', 'Rule_82219', 'Rule_46722', 'Rule_77873', 'Rule_69275', 'Rule_46499', 'Rule_47167', 'Rule_745', 'Rule_76522', 'Rule_5286', 'Rule_41627', 'Rule_46505', 'Rule_42690', 'Rule_46409', 'Rule_41640']
CCC1C2Cn3cc(c4ccccc43)C(C)CN(O)CCC(=O)CC1(O)C2;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2CC(O)C(CO)O2)c2ccccc12', 'CC1OC(n2cc(CCN)c3ccccc32)CC1O', 'CC1OC(n2cc(CCNCC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC1OC(n2cc(CCN(O)CC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC(=O)C1CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCC(=O)O)c2ccccc21', 'CC(O)(CN(O)CCCC(=O)O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CCCCCCCCCC(CCCCCCCC(=O)O)OC(=O)CCCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC(=O)CCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC1(O)CN(O)CCC(=O)CC2(O)CCCCOC23CC3n2cc1c1ccccc12', 'CC1(O)CN(O)CCC(=O)CC(O)(CCCCO)C2(O)CC2n2cc1c1ccccc12', 'CCCC1(O)CC(=O)CCN(O)CC(C)(O)c2cn(c3ccccc23)C2CC21O', 'CCCC1(O)CC(=O)CCN(O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCC1CC2Cn3cc(c4ccccc43)C(C)CN(O)CCC(=O)CC12O'];['Rule_51975', 'Rule_42639', 'Rule_46320', 'Rule_46903', 'Rule_42646', 'Rule_46417', 'Rule_48442', 'Rule_55694', 'Rule_39230', 'Rule_71162', 'Rule_41631', 'Rule_41672', 'Rule_82219', 'Rule_46722', 'Rule_77873', 'Rule_69275', 'Rule_46499', 'Rule_47167', 'Rule_46227', 'Rule_47135']
CCCC1(O)CCCCN(O)CC(C)c2cn(c3ccccc23)C2CC21;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2CC(O)C(CO)O2)c2ccccc12', 'CC1OC(n2cc(CCN)c3ccccc32)CC1O', 'CC1OC(n2cc(CCNCC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC1OC(n2cc(CCN(O)CC[C@H](N)C(=O)O)c3ccccc32)CC1O', 'CC(=O)C1CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CC[C@H](N)C(=O)O)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(CCN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCN)c2ccccc21', 'CC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCO)c2ccccc21', 'CCCCC(=O)C1(O)CC1n1cc(C(C)(O)CN(O)CCCC(=O)O)c2ccccc21', 'CC(O)(CN(O)CCCC(=O)O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CCCCCCCCCC(CCCCCCCC(=O)O)OC(=O)CCCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC(=O)CCN(O)CC(C)(O)c1cn(C2CC23OCCCCC3=O)c2ccccc12', 'CC1(O)CN(O)CCC(=O)CC2(O)CCCCOC23CC3n2cc1c1ccccc12', 'CC1(O)CN(O)CCC(=O)CC(O)(CCCCO)C2(O)CC2n2cc1c1ccccc12', 'CCCC1(O)CC(=O)CCN(O)CC(C)(O)c2cn(c3ccccc23)C2CC21O', 'CCCC1(O)CC(=O)CCN(O)CC(C)c2cn(c3ccccc23)C2CC21', 'CCCC1(O)C[C@H](N)CCN(O)CC(C)c2cn(c3ccccc23)C2CC21'];['Rule_51975', 'Rule_42639', 'Rule_46320', 'Rule_46903', 'Rule_42646', 'Rule_46417', 'Rule_48442', 'Rule_55694', 'Rule_39230', 'Rule_71162', 'Rule_41631', 'Rule_41672', 'Rule_82219', 'Rule_46722', 'Rule_77873', 'Rule_69275', 'Rule_46499', 'Rule_47167', 'Rule_1979', 'Rule_42654']
