SMILES;TargetSimilarity
CCC1(O)CCCN(OS(=O)(=O)O)CC(C)c2cn(c3ccccc23)C(=CI)C1;0.351
C=C1CC(C)(O)CCCN(OS(=O)O)CC(C)c2cn1c1ccccc21;0.339
C=C1CC(O)(CCC)CCCN(OS(=O)(=O)O)CC(C)c2cn1c1ccccc21;0.339
C=C1CC(O)(CC(O)C(C)=O)CCCN(OS(=O)O)CC(C)c2cn1c1ccccc21;0.336
C=C1CC(O)(C(N)CC)CCCN(OS(=O)(=O)O)CC(C)c2cn1c1ccccc21;0.333
CC1CN(OS(=O)O)CCCC(O)(CI)CC(=O)n2cc1c1ccccc12;0.33
CCC1C2Cn3cc(c4ccccc43)C(C)CN(O)CCC(=O)CC1(O)C2;0.327
CCCC1(O)CCCCN(O)CC(C)c2cn(c3ccccc23)C2CC21;0.321
