FINAL_SMILES;INTERMEDIATE_SMILES;RULE_IDS
CCC(O)(CC/C=C(\C)CCC1(O)OC1(C)C)C(C)=O;['CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1OC1(C)C', 'CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'C/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)OC1OC(CO)C(O)C(O)C1O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O'];['Rule_69791', 'Rule_40093', 'Rule_41666', 'Rule_54114', 'Rule_61075', 'Rule_44594']
CC(=O)C(C)C(O)(CC/C=C(\C)CCC=C(C)C)C1CO1;['CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1OC1(C)C', 'CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'C/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)OC1OC(CO)C(O)C(O)C1O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)=O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)OC(C)=O', 'CC(=O)OC(C)C(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)C(C)=O', 'CC(=O)C(C)C(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)O', 'CC(=O)C(C)C(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C1CO1'];['Rule_69791', 'Rule_40093', 'Rule_41666', 'Rule_54114', 'Rule_61075', 'Rule_44594', 'Rule_782', 'Rule_80290', 'Rule_47739', 'Rule_40498', 'Rule_40608', 'Rule_47019']
CC(=O)CC(=O)C(O)(CC/C=C(\C)CCC1(O)OC1(C)C)C(C)O;['CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1OC1(C)C', 'CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'C/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)OC1OC(CO)C(O)C(O)C1O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)=O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(=O)CC(C)=O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(N)CC(C)=O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(=O)CC(C)=O'];['Rule_69791', 'Rule_40093', 'Rule_41666', 'Rule_54114', 'Rule_61075', 'Rule_44594', 'Rule_47734', 'Rule_77541', 'Rule_84557', 'Rule_43634']
CC(=O)C(CO)C(O)(CCC1OC1(C)CCC=C(C)C)C1CO1;['CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1OC1(C)C', 'CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'C/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)OC1OC(CO)C(O)C(O)C1O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)=O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)OC(C)=O', 'CC(=O)OC(C)C(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)C(C)=O', 'CC(=O)C(C)C(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)O', 'CC(=O)C(C)C(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C1CO1', 'CC(=O)C(C)C(O)(CC/C=C(\\C)CCC=C(C)C)C1CO1', 'CC(=O)C(CO)C(O)(CC/C=C(\\C)CCC=C(C)C)C1CO1'];['Rule_69791', 'Rule_40093', 'Rule_41666', 'Rule_54114', 'Rule_61075', 'Rule_44594', 'Rule_782', 'Rule_80290', 'Rule_47739', 'Rule_40498', 'Rule_40608', 'Rule_47019', 'Rule_52233', 'Rule_70505']
CC(=O)C(C)C(O)(CC/C=C(\C)CCC1(O)OC1(C)C)C(C)O;['CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1OC1(C)C', 'CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'C/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)OC1OC(CO)C(O)C(O)C1O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)=O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)OC(C)=O', 'CC(=O)OC(C)C(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)C(C)=O'];['Rule_69791', 'Rule_40093', 'Rule_41666', 'Rule_54114', 'Rule_61075', 'Rule_44594', 'Rule_782', 'Rule_80290', 'Rule_47739', 'Rule_40498']
CCC(O)(CC/C=C(\C)CCC1(O)OC1(C)C)C(C)OC(C)=O;['CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1OC1(C)C', 'CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'C/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)OC1OC(CO)C(O)C(O)C1O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)=O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)O'];['Rule_69791', 'Rule_40093', 'Rule_41666', 'Rule_54114', 'Rule_61075', 'Rule_44594', 'Rule_782', 'Rule_80290']
CCC(O)(CC/C=C(\C)CCC1(O)OC1(C)C)C(N)CC(C)=O;['CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1OC1(C)C', 'CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'C/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)OC1OC(CO)C(O)C(O)C1O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)=O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(=O)CC(C)=O'];['Rule_69791', 'Rule_40093', 'Rule_41666', 'Rule_54114', 'Rule_61075', 'Rule_44594', 'Rule_47734', 'Rule_77541']
CCC(O)(CC/C=C(\C)CCC1(O)OC1(C)C)C(C)NC(C)=O;['CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1OC1(C)C', 'CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'C/C=C(\\C)CC/C=C(\\C)CCC1(O)OC1(C)C', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)OC1OC(CO)C(O)C(O)C1O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)CC(=O)O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)=O', 'CCC(O)(CC/C=C(\\C)CCC1(O)OC1(C)C)C(C)N'];['Rule_69791', 'Rule_40093', 'Rule_41666', 'Rule_54114', 'Rule_61075', 'Rule_44594', 'Rule_46290', 'Rule_73285']
