SMILES,TargetSimilarity
CCC(O)(CC/C=C(\C)CCC1(O)OC1(C)C)C(C)=O,0.358
CC(=O)C(C)C(O)(CC/C=C(\C)CCC=C(C)C)C1CO1,0.341
CC(=O)CC(=O)C(O)(CC/C=C(\C)CCC1(O)OC1(C)C)C(C)O,0.333
CC(=O)C(CO)C(O)(CCC1OC1(C)CCC=C(C)C)C1CO1,0.333
CC(=O)C(C)C(O)(CC/C=C(\C)CCC1(O)OC1(C)C)C(C)O,0.33
CCC(O)(CC/C=C(\C)CCC1(O)OC1(C)C)C(C)OC(C)=O,0.326
CCC(O)(CC/C=C(\C)CCC1(O)OC1(C)C)C(N)CC(C)=O,0.326
CCC(O)(CC/C=C(\C)CCC1(O)OC1(C)C)C(C)NC(C)=O,0.326
