compound_id	smiles
id_58	CCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCN
id_59	CCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCN
id_60	CCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCN
id_61	CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCN
id_62	CCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(O)CO
id_63	CCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(O)CO
id_64	CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(O)CO
id_65	N=c1nc(O)c2c([nH]1)NCC(C(O)C(O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)=N2
id_66	NC(C=O)C(=O)O
id_67	CC1(CO)OP(=O)(O)OP(=O)(O)OCC1O
id_68	CC(O)(CO)C(O)COP(=O)(O)O
id_69	O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O
id_70	O=C(O)C(=O)CC(O)C(O)CO
id_71	O=C(O)C(=O)CC(O)C(O)COP(=O)(O)O
id_72	CC(C)(CO)C(=O)C(=O)O
id_73	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cc(O)c2ccccc2c1O
id_74	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=CC(=O)c2ccccc2C1=O
id_75	O=P(O)(O)OC1CC(O)C(CO)O1
id_76	O=CCC(O)C(O)COP(=O)(O)O
id_77	O=CC(O)C(=O)O
id_78	O=C(O)CCC(=O)C=CC=C(O)C(=O)O
id_79	CC(C)C(=CC(=O)O)C(=O)O
id_80	Cc1ncc(COP(=O)(O)OP(=O)(O)O)c(=N)[nH]1
id_81	CC(C(=O)O)C(O)(CC(=O)O)C(=O)O
id_82	COc1c(O)c(O)c(C)c(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)c1O
id_83	COc1cc(O)c(C)c(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)c1O
id_84	CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)Cc1cccc(O)c1O
id_85	COc1cc(O)cc(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)c1O
id_86	CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)Cc1cccc(OC)c1O
id_87	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1O
id_88	O=C(O)C(=O)C(O)COP(=O)(O)O
id_89	CCC(=O)C(=O)O
id_90	O=C(O)CCC(=O)C(=O)O
id_91	C=CCC(=O)C(=O)O
id_92	O=C(O)CCC(=O)C1=CC=CC(O)C1C(=O)O
id_93	CCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)O
id_94	O=C(O)C=CC(=O)C=CC=C(O)C(=O)O
id_95	CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)O
id_96	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)C=C1CC=CC=CO1
id_97	CC(CO)(OP(=O)(O)O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(=N)nc2O)C(O)C1O
id_98	C=C(OC1C=CC(C(=O)CCC(=O)O)C(C(=O)O)C1O)C(=O)O
id_99	N=c1nc(O)c2ncn(C3OC4COP(=O)(O)OC4C3O)c2[nH]1
id_100	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OS(=O)(=O)O)C(OP(=O)(O)O)C1O
id_101	CC(=O)C(O)COP(=O)(O)O
id_102	O=C(O)CCc1cccc(O)c1O
id_103	O=C(O)CCc1cccc(O)c1
id_104	O=C(O)C(=O)Cc1ccc(O)cc1
id_105	O=C(COP(=O)(O)O)Cc1cnc[nH]1
id_106	NC=CC(=O)O
id_107	CC(C)C(C(=O)O)C(O)C(=O)O
id_108	CC(C)C(O)(CC(=O)O)C(=O)O
id_109	CC(C)C(C(=O)O)C(=O)C(=O)O
id_110	O=C1CC(O)(C(=O)O)CC(O)C1O
id_111	O=C(O)C1=CC(=O)C(O)C(O)C1
id_112	O=C(O)C(=O)CC(O)C(O)C(O)C(O)CO
id_113	O=C(O)C(=O)CC(O)C(O)C(O)C(O)COP(=O)(O)O
id_114	O=C(O)CCO
id_115	CC(C)C(=O)C(=O)O
id_116	CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cc(C(=O)O)ccc1O
id_117	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)CCC(=O)O
id_118	CCCCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_119	CCCCCCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_120	CCCCCCCCCCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_121	CCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_122	CCCCCCCCCCCCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
id_123	CCCCCC(=O)CC(=O)SCCN=C(O)CCN=C(O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
