SMILES;TargetSimilarity
COC1CCOC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(=O)O)C2O)C1;0.256
COC1CCOC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(N)=O)C2O)C1;0.256
CC(=C=O)c1cn(C2(O)OC(C(=O)O)CC2O)c2ccccc12;0.255
CC(=C=O)c1cn(C2(Cl)OC(C(N)=O)CC2O)c2ccccc12;0.255
O=C=Cc1cn(C2OC3(C(=O)O)CC2OC2CC(OCO3)[C@H](O)CO2)c2ccccc12;0.252
COC1CCOC(OC2CC(O)(C(=O)O)OC2n2cc(C=CO)c3ccccc32)C1;0.25
Cc1c(C=C=O)c2ccccc2n1C1OC2(C(=O)O)CC1OC1CC(OCO2)[C@H](O)CO1;0.248
CC(=C=O)c1cn(C2OC(C(=O)C(=O)O)CC2O)c2ccccc12;0.248
