FINAL_SMILES;INTERMEDIATE_SMILES;RULE_IDS
COC1CCOC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(=O)O)C2O)C1;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(CCC(=O)C(=O)O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'CC(=O)C(O)(CCC(=O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12)C(=O)O', 'O=C=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C=Cc1cn(C2OC(C(=O)OP(=O)(O)O)C(O)C2O)c2ccccc12', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(OC(=O)CC)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=N)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(N)=O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OCC1=O', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OC[C@H]1N', 'COC1CC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(=O)OP(=O)(O)O)C2O)OC[C@H]1N', 'COC1CC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(=O)O)C2O)OC[C@H]1N', 'CCCCCC(=O)N[C@@H]1COC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(=O)O)C2O)CC1OC'];['Rule_53154', 'Rule_55648', 'Rule_58665', 'Rule_46356', 'Rule_39411', 'Rule_41321', 'Rule_73587', 'Rule_85018', 'Rule_41642', 'Rule_45189', 'Rule_65744', 'Rule_77026', 'Rule_1062', 'Rule_553', 'Rule_1472', 'Rule_42769', 'Rule_46291', 'Rule_1723', 'Rule_55004', 'Rule_84113', 'Rule_80244', 'Rule_44799']
COC1CCOC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(N)=O)C2O)C1;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(CCC(=O)C(=O)O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'CC(=O)C(O)(CCC(=O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12)C(=O)O', 'O=C=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C=Cc1cn(C2OC(C(=O)OP(=O)(O)O)C(O)C2O)c2ccccc12', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(OC(=O)CC)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=N)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(N)=O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OCC1=O', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OC[C@H]1N', 'COC1CC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(=O)OP(=O)(O)O)C2O)OC[C@H]1N', 'COC1CC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(=O)O)C2O)OC[C@H]1N', 'CCCCCC(=O)N[C@@H]1COC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(=O)O)C2O)CC1OC', 'COC1CCOC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(=O)O)C2O)C1', 'COC1CCOC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(N)O)C2O)C1'];['Rule_53154', 'Rule_55648', 'Rule_58665', 'Rule_46356', 'Rule_39411', 'Rule_41321', 'Rule_73587', 'Rule_85018', 'Rule_41642', 'Rule_45189', 'Rule_65744', 'Rule_77026', 'Rule_1062', 'Rule_553', 'Rule_1472', 'Rule_42769', 'Rule_46291', 'Rule_1723', 'Rule_55004', 'Rule_84113', 'Rule_80244', 'Rule_44799', 'Rule_46299', 'Rule_40015']
CC(=C=O)c1cn(C2(O)OC(C(=O)O)CC2O)c2ccccc12;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(CCC(=O)C(=O)O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'CC(=O)C(O)(CCC(=O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12)C(=O)O', 'O=C=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C=Cc1cn(C2OC(C(=O)OP(=O)(O)O)C(O)C2O)c2ccccc12', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(OC(=O)CC)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=N)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(N)=O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OCC1=O', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OC[C@H]1N', 'COC1CC(OC2CC(O)(C(=O)O)OC2n2cc(C=C=O)c3ccccc32)OC[C@H]1N', 'O=C=Cc1cn(C2OC(O)(C(=O)O)CC2O)c2ccccc12', 'CC(=C=O)c1cn(C2OC(O)(C(=O)O)CC2O)c2ccccc12'];['Rule_53154', 'Rule_55648', 'Rule_58665', 'Rule_46356', 'Rule_39411', 'Rule_41321', 'Rule_73587', 'Rule_85018', 'Rule_41642', 'Rule_45189', 'Rule_65744', 'Rule_77026', 'Rule_1062', 'Rule_553', 'Rule_1472', 'Rule_42769', 'Rule_46291', 'Rule_1723', 'Rule_31', 'Rule_41665', 'Rule_85313', 'Rule_41550']
CC(=C=O)c1cn(C2(Cl)OC(C(N)=O)CC2O)c2ccccc12;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(CCC(=O)C(=O)O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'CC(=O)C(O)(CCC(=O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12)C(=O)O', 'O=C=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C=Cc1cn(C2OC(C(=O)OP(=O)(O)O)C(O)C2O)c2ccccc12', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(OC(=O)CC)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=N)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(N)=O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OCC1=O', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OC[C@H]1N', 'COC1CC(OC2CC(O)(C(=O)O)OC2n2cc(C=C=O)c3ccccc32)OC[C@H]1N', 'O=C=Cc1cn(C2OC(O)(C(=O)O)CC2O)c2ccccc12', 'CC(=C=O)c1cn(C2OC(O)(C(=O)O)CC2O)c2ccccc12', 'CC(=C=O)c1cn(C2(O)OC(C(=O)O)CC2O)c2ccccc12', 'CC(=C=O)c1cn(C2(O)OC(C(N)=O)CC2O)c2ccccc12'];['Rule_53154', 'Rule_55648', 'Rule_58665', 'Rule_46356', 'Rule_39411', 'Rule_41321', 'Rule_73587', 'Rule_85018', 'Rule_41642', 'Rule_45189', 'Rule_65744', 'Rule_77026', 'Rule_1062', 'Rule_553', 'Rule_1472', 'Rule_42769', 'Rule_46291', 'Rule_1723', 'Rule_31', 'Rule_41665', 'Rule_85313', 'Rule_41550', 'Rule_46359', 'Rule_46382']
O=C=Cc1cn(C2OC3(C(=O)O)CC2OC2CC(OCO3)[C@H](O)CO2)c2ccccc12;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(CCC(=O)C(=O)O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'CC(=O)C(O)(CCC(=O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12)C(=O)O', 'O=C=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C=Cc1cn(C2OC(C(=O)OP(=O)(O)O)C(O)C2O)c2ccccc12', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(OC(=O)CC)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=N)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(N)=O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OCC1=O', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OC[C@H]1N', 'COC1CC(OC2CC(O)(C(=O)O)OC2n2cc(C=C=O)c3ccccc32)OC[C@H]1N', 'N[C@@H]1COC2CC1OCOC1(C(=O)O)CC(O2)C(n2cc(C=C=O)c3ccccc32)O1', 'Cc1ncc(C[N+]2(C3OC4(C(=O)O)CC3OC3CC(OCO4)[C@H](N)CO3)C=C(C=C=O)c3ccccc32)c(=N)[nH]1', 'C[N+]1(C2OC3(C(=O)O)CC2OC2CC(OCO3)[C@H](N)CO2)C=C(C=C=O)c2ccccc21', 'C[N+]1(C2OC3(C(=O)O)CC2OC2CC(OCO3)[C@H](O)CO2)C=C(C=C=O)c2ccccc21'];['Rule_53154', 'Rule_55648', 'Rule_58665', 'Rule_46356', 'Rule_39411', 'Rule_41321', 'Rule_73587', 'Rule_85018', 'Rule_41642', 'Rule_45189', 'Rule_65744', 'Rule_77026', 'Rule_1062', 'Rule_553', 'Rule_1472', 'Rule_42769', 'Rule_46291', 'Rule_1723', 'Rule_2243', 'Rule_60522', 'Rule_55383', 'Rule_38886', 'Rule_46544', 'Rule_46310']
COC1CCOC(OC2CC(O)(C(=O)O)OC2n2cc(C=CO)c3ccccc32)C1;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(CCC(=O)C(=O)O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'CC(=O)C(O)(CCC(=O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12)C(=O)O', 'O=C=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C=Cc1cn(C2OC(C(=O)OP(=O)(O)O)C(O)C2O)c2ccccc12', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(OC(=O)CC)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=N)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(N)=O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OCC1=O', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OC[C@H]1N', 'COC1CC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(=O)OP(=O)(O)O)C2O)OC[C@H]1N', 'COC1CC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(=O)O)C2O)OC[C@H]1N', 'CCCCCC(=O)N[C@@H]1COC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(=O)O)C2O)CC1OC', 'COC1CCOC(OC2C(n3cc(C=C=O)c4ccccc43)OC(O)(C(=O)O)C2O)C1', 'COC1CCOC(OC2CC(O)(C(=O)O)OC2n2cc(C=C=O)c3ccccc32)C1'];['Rule_53154', 'Rule_55648', 'Rule_58665', 'Rule_46356', 'Rule_39411', 'Rule_41321', 'Rule_73587', 'Rule_85018', 'Rule_41642', 'Rule_45189', 'Rule_65744', 'Rule_77026', 'Rule_1062', 'Rule_553', 'Rule_1472', 'Rule_42769', 'Rule_46291', 'Rule_1723', 'Rule_55004', 'Rule_84113', 'Rule_80244', 'Rule_44799', 'Rule_55924', 'Rule_46523']
Cc1c(C=C=O)c2ccccc2n1C1OC2(C(=O)O)CC1OC1CC(OCO2)[C@H](O)CO1;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(CCC(=O)C(=O)O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'CC(=O)C(O)(CCC(=O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12)C(=O)O', 'O=C=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C=Cc1cn(C2OC(C(=O)OP(=O)(O)O)C(O)C2O)c2ccccc12', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(OC(=O)CC)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=N)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(N)=O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OCC1=O', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OC[C@H]1N', 'COC1CC(OC2CC(O)(C(=O)O)OC2n2cc(C=C=O)c3ccccc32)OC[C@H]1N', 'N[C@@H]1COC2CC1OCOC1(C(=O)O)CC(O2)C(n2cc(C=C=O)c3ccccc32)O1', 'Cc1ncc(C[N+]2(C3OC4(C(=O)O)CC3OC3CC(OCO4)[C@H](N)CO3)C=C(C=C=O)c3ccccc32)c(=N)[nH]1', 'C[N+]1(C2OC3(C(=O)O)CC2OC2CC(OCO3)[C@H](N)CO2)C=C(C=C=O)c2ccccc21', 'C[N+]1(C2OC3(C(=O)O)CC2OC2CC(OCO3)[C@H](O)CO2)C=C(C=C=O)c2ccccc21', 'O=C=Cc1cn(C2OC3(C(=O)O)CC2OC2CC(OCO3)[C@H](O)CO2)c2ccccc12', 'Cc1c(C=C=O)c2ccccc2n1C1OC2(C(=O)O)CC1OC1CC(OCO2)[C@H](O)CO1'];['Rule_53154', 'Rule_55648', 'Rule_58665', 'Rule_46356', 'Rule_39411', 'Rule_41321', 'Rule_73587', 'Rule_85018', 'Rule_41642', 'Rule_45189', 'Rule_65744', 'Rule_77026', 'Rule_1062', 'Rule_553', 'Rule_1472', 'Rule_42769', 'Rule_46291', 'Rule_1723', 'Rule_2243', 'Rule_60522', 'Rule_55383', 'Rule_38886', 'Rule_46544', 'Rule_46310', 'Rule_52246', 'Rule_40989']
CC(=C=O)c1cn(C2OC(C(=O)C(=O)O)CC2O)c2ccccc12;['NCCc1c[nH]c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(Cc1c[nH]c2ccccc12)NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2OC(=O)c2ccccc2)c2ccccc12', 'NCCc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C(CCC(=O)C(=O)O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'CC(=O)C(O)(CCC(=O)NC=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12)C(=O)O', 'O=C=Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c2ccccc12', 'O=C=Cc1cn(C2OC(C(=O)OP(=O)(O)O)C(O)C2O)c2ccccc12', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(OC(=O)CC)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(=N)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2C(O)C(C(N)=O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'CCNC1COC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)CC1OC', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OCC1=O', 'COC1CC(OC2CC(O)(C(=O)OP(=O)(O)O)OC2n2cc(C=C=O)c3ccccc32)OC[C@H]1N', 'COC1CC(OC2CC(O)(C(=O)O)OC2n2cc(C=C=O)c3ccccc32)OC[C@H]1N', 'O=C=Cc1cn(C2OC(O)(C(=O)O)CC2O)c2ccccc12', 'CC(=C=O)c1cn(C2OC(O)(C(=O)O)CC2O)c2ccccc12', 'CC(=C=O)c1cn(C2(O)OC(C(=O)O)CC2O)c2ccccc12', 'CC(=C=O)c1cn(C2(O)OC(C(=O)C(=O)O)CC2O)c2ccccc12'];['Rule_53154', 'Rule_55648', 'Rule_58665', 'Rule_46356', 'Rule_39411', 'Rule_41321', 'Rule_73587', 'Rule_85018', 'Rule_41642', 'Rule_45189', 'Rule_65744', 'Rule_77026', 'Rule_1062', 'Rule_553', 'Rule_1472', 'Rule_42769', 'Rule_46291', 'Rule_1723', 'Rule_31', 'Rule_41665', 'Rule_85313', 'Rule_41550', 'Rule_46431', 'Rule_46346']
