SMILES;TargetSimilarity
C=CCCCCC/C=C\C(O)CC(O)CCCCC;0.452
C=CCCCCC(O)/C=C\C(O)/C=C\CCCCC;0.432
C=CCCCCC/C=C\C(CC(O)CCCCC)OO;0.416
C=CCCCCC/C=C\C(=O)C(O)C(O)CCCCC;0.403
C=CC(O)CCCC(O)/C=C\C(=O)/C=C\CCCCC;0.403
CCCCCCC/C=C\C(O)C(O)C(O)CCCCC;0.403
C=CCCCCC/C=C\C(O)CC(CCCCC)OC;0.397
C=CCCCCCCC;0.393
